Feature,Importance,logFC,Omics
Q9TRY0,19.44990837790888,0.7349395799999989,Proteomics
Q29RU4,20.41867456715672,-0.8470541666666733,Proteomics
Q0VCA8,21.240120606830715,0.7549676966666645,Proteomics
Q08DP0,21.619479078514864,0.7505964099999964,Proteomics
Q3MHL4,23.01478989649833,0.754900339999999,Proteomics
Q28178,23.414408895539037,-0.9162888333333256,Proteomics
A5PKH3,24.36446157075748,0.9111800866666648,Proteomics
P02070,26.116827701348267,-1.3945983066666692,Proteomics
Q9XSC6,28.74596163813383,-2.156835836666666,Proteomics
Q148H7,34.740019892060445,-2.401686683333338,Proteomics
HERC2P9 #9,39.161139725976405,4.865900346595026,Peptidomics
Q32KM8 #2,39.20381637065767,2.68206569968676,Peptidomics
P01966 #2,39.969920414922186,2.7775553237530293,Peptidomics
P34955 #18,44.76178511095967,-4.794595587618531,Peptidomics
P02672 #176,45.329416653792464,3.100100491884973,Peptidomics
P07456 #6,47.59181219830713,2.9542856499978996,Peptidomics
HERC2P9 #4,48.86862664878526,3.912585843187127,Peptidomics
HERC2P9 #28,49.356079336159254,3.4065539391672317,Peptidomics
HERC2P9 #26,52.31822584979348,3.8042699866148624,Peptidomics
LINC02483 #25,84.34268373692333,-5.2943748174185,Peptidomics
Diethylstilbestrol (Stilb...,177.16792845955268,-21.526986163333337,Metabolomics
NCGC00380749-01_C30H32O12...,181.8278891428529,17.991446143333338,Metabolomics
C12H14O3 2,189.30932632765365,-19.43761227333334,Metabolomics
NCGC00380717-01_C27H36O7_...,212.6544173942002,-22.247786306666672,Metabolomics
"1-(5,10-dioxo-2,3,5a,6,7,...",228.7850296329237,-21.01528183666667,Metabolomics
BA 24:1 #70,231.86827188762777,16.400234643333334,Lipidomics
Amidosulfobetaine-14,234.4097928110965,-22.96238631333334,Metabolomics
C11H13NO5,235.9305013455376,-24.22949063666667,Metabolomics
BMP 27:5,239.43258206081637,-13.333731823333334,Lipidomics
Benactyzine,241.84618932391567,-21.75041272333334,Metabolomics
Flurbiprofen (Ansaid),244.26132772043465,-20.967284343333336,Metabolomics
NCGC00380288-01_C21H26O5_...,268.1364201433633,-21.81601234333334,Metabolomics
NAGly 33:9,268.9944257416244,-13.644214560000004,Lipidomics
Cer 37:7 #2,329.90051333578424,-15.115393996666668,Lipidomics
SL 40:3,379.3533142838766,-15.339822370000002,Lipidomics
PC 33:0 #1,381.7187923302081,18.305057853333334,Lipidomics
DMPE 23:4,385.8846681911048,12.977061110000005,Lipidomics
TG 48:6,395.11982090490585,19.42996293333334,Lipidomics
Cer 39:7 #1,414.36999846761574,-15.372795500000004,Lipidomics
ASG 27:1 #1,469.7690899802807,18.331196273333333,Lipidomics
